Node_name_1;Node_name_2;Node_name_3;Node_name_4;Article_ID_List;Node_number_1;Node_number_2;Node_number_3;Node_number_4
['transport'];['car'];['passeng'];;[737, 1339, 1922, 1965];1;1;1;
['transport'];['car'];['car'];['electr'];[503, 1228, 1487, 1652, 1783];1;1;2;1
['transport'];['car'];['car'];['car'];[354, 512, 579, 943, 1307, 1314, 1365, 1862, 1864, 1866, 2093, 2296, 2482];1;1;2;2
['transport'];['car'];['fleet'];;[86, 1377, 2204, 2761];1;1;3;
['transport'];['vehicl'];['fleet'];['electr'];[656, 1185, 2537];1;2;4;3
['transport'];['vehicl'];['fleet'];['fleet'];[135, 1085, 1651, 2414, 2700, 2779];1;2;4;4
['transport'];['vehicl'];['fleet'];['oil'];[807, 939, 2431];1;2;4;5
['transport'];['vehicl'];['fleet'];['fuel'];[153, 160, 162, 402, 459, 962];1;2;4;6
['transport'];['vehicl'];['vehicl'];['vehicl'];[383, 474, 531, 549, 602, 649, 653, 728, 801, 814, 942, 1718, 2020, 2198, 2213, 2214, 2221, 2340, 2343, 2469, 2541, 2677, 2721, 2739, 2751, 2777, 2839];1;2;5;7
['transport'];['vehicl'];['vehicl'];['transport'];[7, 122, 247, 510, 545, 680, 813, 1265, 1415, 1851, 2089, 2138, 2139, 2250, 2354];1;2;5;8
['transport'];['vehicl'];['vehicl'];['vehicl'];[294, 304, 386, 398, 497, 612, 898, 934, 986, 1092, 1105, 1150, 1425, 1557, 1729, 1914, 1973, 1992, 2017, 2025, 2027, 2062, 2538, 2638, 2644, 2689, 2725, 2741, 2832, 2880];1;2;5;9
['transport'];['vehicl'];['hydrogen'];;[648, 987, 1153, 1507, 1586, 1900, 2352, 2419, 2421];1;2;6;
['transport'];['transport'];['road'];['transport'];[81, 738, 753, 912, 1001, 1118, 1132, 1209, 1397, 1412, 2130, 2257, 2436, 2493, 2554];1;3;7;10
['transport'];['transport'];['road'];['ghg'];[792, 1287, 2060, 2518, 2566, 2742];1;3;7;11
['transport'];['transport'];['transport'];['citi'];[18, 66, 152, 495, 904, 1787, 1803, 2011, 2041, 2477, 2501, 2551, 2710];1;3;8;12
['transport'];['transport'];['transport'];['transport'];[518, 720, 739, 824, 951, 972, 1038, 1056, 1084, 1362, 1370, 1381, 1621, 1660, 1758, 1795, 1810, 1998, 2241, 2344, 2376, 2406, 2426];1;3;8;13
['transport'];['transport'];['transport'];['transport'];[20, 558, 1034, 1080, 1151, 1168, 1360, 1376, 1378, 1666, 1697, 1756, 1800, 1859, 1889, 2107, 2136, 2137, 2255, 2256, 2312, 2329, 2394, 2485, 2495, 2547, 2769, 2809, 2811, 2816, 2877];1;3;9;14
['transport'];['transport'];['transport'];['transport'];[470, 647, 761, 1059, 1100, 1144, 1262, 1410, 1452, 1509, 1678, 1734, 1773, 1855, 2142, 2146, 2154, 2185, 2186, 2289, 2383, 2487, 2502, 2519, 2525, 2544, 2553, 2565, 2759];1;3;9;15
['power'];['cc'];['cc'];['technolog'];[268, 1137, 1305, 1563, 1600, 1654, 1656, 1939, 2268, 2578];2;4;10;16
['power'];['cc'];['cc'];['cc'];[199, 336, 678, 810, 859, 868, 876, 954, 1015, 1130, 1348, 1403, 1476, 1517, 1622, 1753, 1778, 1808, 1822, 1834, 1925, 1952, 2073, 2111, 2143, 2183, 2309, 2313, 2805, 2810, 2882];2;4;10;17
['power'];['cc'];['plant'];['plant'];[820, 964, 1270, 1471, 1478, 1551, 1766, 1984, 2181, 2572, 2856, 2878];2;4;11;18
['power'];['cc'];['plant'];['network'];[953, 1760, 2514];2;4;11;19
['power'];['power'];['power'];['generat'];[291, 322, 345, 393, 415, 749, 769, 819, 1177, 1560, 1680, 2043, 2064, 2080, 2194, 2237, 2464, 2471, 2543, 2559, 2653, 2717, 2766, 2846, 2847];2;5;12;20
['power'];['power'];['power'];['power'];[22, 149, 167, 171, 172, 320, 325, 382, 390, 392, 396, 434, 447, 471, 476, 541, 583, 585, 597, 614, 618, 717, 733, 783, 851, 855, 886, 889, 907, 920, 969, 1002, 1003, 1088, 1173, 1195, 1283, 1284, 1340, 1352, 1540, 1573, 1640, 1646, 1648, 1698, 1701, 1913, 1931, 1936, 1948, 1975, 2010, 2012, 2018, 2077, 2119, 2232, 2319, 2334, 2378, 2390, 2594];2;5;12;21
['power'];['power'];['plant'];['power'];[168, 176, 251, 344, 464, 469, 803, 936, 1070, 1089, 1107, 1196, 1199, 1559, 1618, 1740, 1757, 1769, 1949, 1950, 1958, 1966, 1985, 2030, 2053, 2054, 2061, 2067, 2076, 2122, 2223, 2253, 2254, 2582, 2715, 2744, 2754, 2781, 2842];2;5;13;22
['power'];['power'];['plant'];['coal'];[67, 252, 403, 405, 466, 515, 543, 677, 746, 817, 975, 1018, 1025, 1054, 1086, 1104, 1187, 1732, 1747, 1779, 1782, 1796, 2819];2;5;13;23
['power'];['power'];['wind'];['technolog'];[816, 931, 981, 1407, 2535];2;5;14;24
['power'];['power'];['wind'];['power'];[185, 522, 598, 601, 650, 685, 779, 864, 1065, 1665, 2039, 2114, 2387, 2623, 2838];2;5;14;25
['power'];['nuclear'];['new'];['nuclear'];[1315, 1400, 1570, 1589, 1619, 2126, 2681, 2795];2;6;15;26
['power'];['nuclear'];['new'];['target'];[1461, 1506, 1910, 2000];2;6;15;27
['power'];['nuclear'];['power'];['power'];[41, 891, 1119, 1690, 1957, 1982, 1983, 1989, 1994, 1995, 2082, 2835];2;6;16;28
['power'];['nuclear'];['power'];['nuclear'];[58, 62, 281, 1260, 1537, 2110];2;6;16;29
['power'];['nuclear'];['power'];['solut'];[1390];2;6;16;30
['power'];['nuclear'];['nuclear'];['nuclear'];[4, 282, 565, 1063, 1123, 1128, 1133, 1423, 1428, 1435, 1490, 1579, 1826, 1974, 1981, 1993, 1996, 2087, 2102, 2104, 2131, 2627, 2804];2;6;17;31
['power'];['nuclear'];['nuclear'];['hydrogen'];[1420, 1426];2;6;17;32
['power'];['nuclear'];['target'];;[1926, 1959, 1963, 1976, 2123, 2577, 2593];2;6;18;
['power'];['electr'];['price'];['gas'];[703, 1833, 2498, 2597, 2640, 2678, 2693, 2807, 2861];2;7;19;33
